,plantname,date,batch,sample,amplicon,frac,cooc,count,mut_all,mut_oneless,BR,EU,UK,ZA,IN2,IN1,IN3,AY42,mu,om
90,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,76,,,0,0,0,,,,,,1.0,1.0,,,
91,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,76,,,0,0,0,,,,,1.0,,,1.0,,
92,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,73,,,0,0,0,,,,,,,,1.0,,
93,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,91,,,0,0,0,,,,,,,,1.0,,
94,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,92,,,0,0,0,,,,,,,,,1.0,
95,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,72,,,0,0,0,,,,,,,,,,1.0
96,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,75,,,0,0,0,,,,,,,,,,1.0
97,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,76,,,0,0,0,,,,,,,,,,1.0
98,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,78,,,0,0,0,,,,,,,,,,1.0
99,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,88,,,0,0,0,,,,,,,,,,1.0
100,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,71,,,0,0,0,1.0,,,,,,,,,
101,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,95,0.0,2.0,36367,0,3,1.0,,,,,,,,,
102,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,77,,,0,0,0,,1.0,,,,,,,,
103,Lugano (TI),2021-12-06,20211217_HVTWGDRXY,05_2021_12_06,72,,,0,0,0,,,1.0,,,,,,,
